gamma,run_id,women_bar_qw_effective_affinity,women_bar_qw_ratio,queer_bar_qw_effective_affinity,queer_bar_qw_ratio
0.3,0,0.8346456692913384,0.7619047619047619,0.3148936170212766,0.041666666666666664
0.3,1,0.8349639133921412,0.7622950819672131,0.3992633517495396,0.17543859649122806
0.3,2,0.3114754098360656,0.0,0.7218992248062015,0.6057692307692307
0.3,3,0.6330275229357798,0.47368421052631576,0.6950354609929077,0.5656565656565656
0.3,4,0.8402972027972027,0.7719298245614035,0.4082934609250399,0.15873015873015872
0.3,5,0.3145833333333333,0.020833333333333332,0.7226415094339622,0.6037735849056604
0.3,6,0.7300693240901213,0.6173913043478261,0.30160550458715596,0.0
0.3,7,0.7182389937106918,0.6,0.738755980861244,0.625
0.3,8,0.3160919540229885,0.019230769230769232,0.7348484848484849,0.6218487394957983
0.3,9,0.7512116316639741,0.648,0.31403118040089084,0.0
0.3,10,0.6631346578366446,0.5222222222222223,0.5417797888386123,0.3333333333333333
0.3,11,0.5910326086956521,0.4189189189189189,0.7840864440078585,0.693069306930693
0.3,12,0.6209944751381216,0.4367816091954023,0.631578947368421,0.4943820224719101
0.3,13,0.3321976149914821,0.08196721311475409,0.8388746803069054,0.7652173913043478
0.3,14,0.3605769230769231,0.05,0.7838080959520239,0.6962962962962963
0.3,15,0.8340649692712905,0.7565217391304347,0.30148936170212765,0.0
0.3,16,0.33121019108280253,0.0625,0.741339491916859,0.627906976744186
0.3,17,0.5362095531587057,0.328125,0.6506591337099812,0.5
0.3,18,0.7357274401473296,0.6203703703703703,0.4205298013245033,0.18032786885245902
0.3,19,0.3188405797101449,0.04081632653061224,0.8081440877055599,0.7244094488188977
0.5,0,0.833916083916084,0.6576576576576577,0.6662303664921466,0.3625
0.5,1,0.7948038176033934,0.5824175824175825,0.752053388090349,0.51
0.5,2,0.6703296703296704,0.3424657534246575,0.8144876325088339,0.6283185840707964
0.5,3,0.7305045871559633,0.4659090909090909,0.7718631178707225,0.5428571428571428
0.5,4,0.8128342245989304,0.6153846153846154,0.7258883248730965,0.46534653465346537
0.5,5,0.8228995057660626,0.6446280991735537,0.6246006389776357,0.25396825396825395
0.5,6,0.7822033898305085,0.5630252100840336,0.6135593220338983,0.22413793103448276
0.5,7,0.8274002157497303,0.627906976744186,0.7841726618705036,0.5961538461538461
0.5,8,0.6892980437284235,0.3333333333333333,0.7514910536779325,0.5327102803738317
0.5,9,0.7429406037000974,0.4752475247524752,0.7226890756302521,0.4588235294117647
0.5,10,0.7575431034482758,0.5631067961165048,0.7587268993839835,0.45977011494252873
0.5,11,0.7454642475987193,0.45977011494252873,0.8083247687564235,0.6346153846153846
0.5,12,0.726775956284153,0.43820224719101125,0.7722567287784678,0.5555555555555556
0.5,13,0.6545667447306791,0.32954545454545453,0.8084886128364389,0.6063829787234043
0.5,14,0.7340425531914894,0.4594594594594595,0.8096026490066226,0.6229508196721312
0.5,15,0.8090909090909091,0.5957446808510638,0.7261363636363636,0.4838709677419355
0.5,16,0.682230869001297,0.3194444444444444,0.7794741306191688,0.5772357723577236
0.5,17,0.7513631406761178,0.4945054945054945,0.7135470527404344,0.4329896907216495
0.5,18,0.7782446311858077,0.5607476635514018,0.692174913693901,0.3793103448275862
0.5,19,0.7507788161993769,0.5294117647058824,0.7574421168687983,0.4823529411764706
0.7,0,0.8780979827089337,0.5825242718446602,0.8330462863293864,0.4574468085106383
0.7,1,0.8751497005988024,0.5961538461538461,0.8426380368098159,0.4574468085106383
0.7,2,0.8316831683168316,0.4742268041237113,0.8703170028818443,0.5408163265306123
0.7,3,0.8535856573705178,0.4842105263157895,0.85,0.5242718446601942
0.7,4,0.8770226537216829,0.5869565217391305,0.8431752178121974,0.4807692307692308
0.7,5,0.8678899082568807,0.5636363636363636,0.8415730337078652,0.4659090909090909
0.7,6,0.8287461773700305,0.40425531914893614,0.8529718456725756,0.53
0.7,7,0.8901673640167364,0.6195652173913043,0.8689024390243902,0.5784313725490197
0.7,8,0.8389380530973451,0.45454545454545453,0.8444910807974816,0.4897959183673469
0.7,9,0.8403827751196172,0.46601941747572817,0.8511229946524064,0.5052631578947369
0.7,10,0.8536277602523659,0.45348837209302323,0.8612244897959184,0.5803571428571429
0.7,11,0.8614312267657992,0.5238095238095238,0.8666289592760181,0.5714285714285714
0.7,12,0.8530499075785583,0.5267857142857143,0.8480176211453745,0.47126436781609193
0.7,13,0.8247524752475247,0.41,0.8824742268041237,0.6122448979591837
0.7,14,0.8616422947131608,0.5119047619047619,0.8707607699358386,0.5877192982456141
0.7,15,0.8610822060353798,0.4578313253012048,0.8507692307692307,0.5596330275229358
0.7,16,0.8530864197530864,0.5339805825242718,0.8392118226600985,0.4375
0.7,17,0.8523076923076922,0.5151515151515151,0.835820895522388,0.4444444444444444
0.7,18,0.854225352112676,0.52,0.8352409638554217,0.4444444444444444
0.7,19,0.86,0.5242718446601942,0.8597826086956522,0.5425531914893617
